extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
1,1860.25,1989.53,18.858,17.889,1,1096.4,1008.1,0,0,0.001,0.001,-0.103,-0.069,0.001,0.001
1,1890.22,1077.85,19.229,17.694000000000003,1,899.6,904.4,0,0,0.02,0.063,-0.005,-0.128,0.001,0.001
1,2584.25,606.08,19.583,17.855,1,854.1,1030.8,0,0,0.0,0.0,0.021,-0.122,0.001,0.001
1,644.77,470.99,19.337,18.059,1,905.4,925.4,0,0,0.015,0.019,0.001,0.023,0.001,0.001
1,2213.34,818.45,19.123,18.188,1,968.6,883.5,0,0,0.0,0.0,-0.092,-0.042,0.001,0.001
1,1880.03,1009.47,20.379,17.759,1,633.8,1073.1,0,0,0.0,0.001,-0.005,-0.109,0.002,0.001
1,1117.65,1248.63,20.377,17.89,1,626.2,1004.3,0,0,0.006,0.011,-0.001,-0.032,0.002,0.001
1,2819.87,1571.13,20.442,18.556,1,580.8,740.9,0,0,0.0,0.001,0.012,-0.009,0.002,0.001
1,3638.2,1390.21,20.627,18.56,1,539.0,740.1,0,0,0.002,0.002,-0.006,-0.022,0.002,0.001
1,2286.52,1090.6,20.775,18.641,1,484.1,681.7,0,0,0.0069999999999999,0.012,-0.015,0.0069999999999999,0.002,0.002
1,140.8,574.41,20.243,18.906,1,599.1,626.3,0,0,0.0069999999999999,0.009,-0.024,0.0069999999999999,0.002,0.002
1,2488.85,1607.08,20.34,19.029,1,568.9,586.5,0,0,0.0069999999999999,0.009,0.0279999999999999,0.0069999999999999,0.002,0.002
1,3466.28,1162.6,20.395,19.544,1,522.5,465.6,0,0,0.0,0.0,0.001,0.024,0.002,0.002
1,1980.37,363.6,20.737,19.554,1,455.6,450.7,0,0,0.009,0.0139999999999999,-0.01,0.01,0.002,0.002
1,2921.8,760.8,22.066,19.245,1,283.6,535.8,0,0,0.0,0.001,0.012,-0.0139999999999999,0.004,0.002
1,2816.34,1584.95,22.224,19.84,1,253.4,399.9,0,0,0.004,0.003,0.008,-0.003,0.004,0.003
1,1248.97,1718.0,22.827,19.817,1,196.8,402.1,0,0,0.0,0.0,0.006,-0.004,0.006,0.003
1,1212.09,348.06,22.119,20.244,1,258.2,332.6,0,0,0.006,0.008,0.01,0.013,0.004,0.003
1,1165.99,1346.21,22.965,20.224,1,173.3,325.2,0,0,0.0069999999999999,0.015,0.017,0.02,0.006,0.003
1,3646.08,1217.71,22.794,20.395,1,168.8,279.7,0,0,0.205,0.205,0.1169999999999999,0.149,0.006,0.004
1,1645.27,689.15,23.088,20.328,1,169.3,314.3,0,0,0.024,0.046,0.006,0.002,0.006,0.003
1,3197.1,1696.77,22.298,20.742,1,225.9,259.8,0,0,0.0,0.0,0.003,-0.001,0.005,0.004
