extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,795.545,927.52,22.259,20.515,215.4,242.3,-0.02,-0.016,0.018,0.008,0.005,0.004
0,1,769.58,777.34,22.43,20.928,90.3,69.1,-0.007,-0.113,0.032,0.063,0.012,0.016
0,1,842.585,847.985,22.429,20.904,161.4,201.7,-0.016,-0.014,0.033,-0.003,0.007,0.005
0,1,763.24,1039.78,22.574,21.058,176.5,152.5,0.005,-0.007,0.0,0.013,0.006,0.007
0,1,959.0899999999999,956.0050000000001,22.958,21.041,135.2,188.9,-0.01,-0.026,0.048,0.004,0.008,0.006
0,1,851.44,950.395,22.542,21.28,160.2,98.4,-0.021,-0.045,0.028,0.026,0.007,0.011
0,1,852.48,805.335,22.913,21.551,120.1,79.2,-0.025,-0.061,0.042,0.026,0.009,0.014
0,1,997.2750000000001,940.4100000000001,22.971,21.504,112.3,111.2,0.004,-0.018,0.04,0.075,0.01,0.01
0,1,940.6800000000001,820.005,23.003,21.64,116.9,132.9,-0.029,-0.016,0.033,0.008,0.009,0.008
0,1,1048.805,971.6399999999999,23.0,21.632,137.6,123.6,0.007,-0.025,0.031,0.025,0.008,0.009
0,1,776.7,974.925,99.999,99.999,141.2,0.0,0.02,0.0,0.033,0.0,0.008,0.0
0,1,970.355,1025.73,23.181,21.854,114.0,80.7,-0.02,-0.047,0.042,0.032,0.01,0.013
0,1,1046.575,941.515,23.226,21.917,102.3,110.2,-0.03,-0.017,0.032,0.034,0.011,0.01
0,1,888.625,913.63,23.237,21.919,129.6,113.5,-0.014,-0.008,0.034,0.001,0.008,0.01
0,1,990.565,757.9449999999999,23.241,21.993,104.6,100.3,-0.041,-0.052,0.025,0.026,0.01,0.011
0,1,924.16,835.625,23.219,21.904,131.0,119.4,-0.015,-0.044,0.01,-0.002,0.008,0.009
0,1,894.725,901.69,23.245,21.941,125.4,96.1,-0.021,-0.047,0.025,0.017,0.009,0.011
0,1,788.06,792.6949999999999,23.276,22.019,114.5,114.5,0.009,-0.019,0.028,-0.015,0.009,0.009
0,1,1001.0050000000001,987.06,23.335,22.042,121.5,106.0,-0.036,-0.026,0.026,0.022,0.009,0.01
0,1,910.69,884.065,23.43,22.155,116.0,86.8,-0.018,-0.002,0.039,0.018,0.009,0.013
0,1,729.195,1026.745,23.459,22.218,107.5,84.8,0.016,-0.01,0.015,0.009,0.01,0.013
0,1,1042.255,1036.58,23.541,22.301,101.9,99.1,-0.004,0.0,0.026,0.013,0.011,0.011
0,1,985.115,962.145,23.615,22.395,104.3,90.9,-0.009,-0.042,0.026,0.023,0.01,0.012
0,1,861.29,971.635,23.594,22.451,93.7,102.6,-0.005,-0.007,0.086,0.012,0.012,0.011
0,1,1004.1199999999999,989.03,23.635,22.432,101.5,95.2,-0.017,-0.025,0.068,0.02,0.011,0.011
0,1,966.06,836.585,23.797,22.602,79.7,66.6,-0.056,-0.062,0.041,0.04,0.014,0.016
0,1,973.5450000000001,704.875,23.791,22.731,62.0,42.6,-0.075,-0.148,0.053,0.025,0.018,0.025
0,1,1011.5799999999999,881.8199999999999,23.82,22.647,83.9,34.3,-0.008,0.036,0.021,-0.018,0.013,0.032
0,1,1049.245,851.845,23.847,22.645,82.4,54.4,-0.005,-0.04,0.017,0.021,0.013,0.02
0,1,905.395,1058.22,23.915,22.727,86.1,60.1,-0.004,-0.031,0.0,0.007,0.013,0.018
0,1,1012.065,800.715,23.94,22.768,62.3,50.6,-0.021,-0.019,0.093,0.017,0.017,0.021
0,1,809.36,1043.625,23.887,22.82,69.3,68.3,-0.026,0.006,0.045,0.02,0.016,0.016
0,1,864.595,994.1100000000001,23.906,22.787,85.0,49.5,0.024,-0.013,0.015,0.029,0.013,0.022
0,1,958.9300000000001,968.9449999999999,24.003,22.857,82.2,42.3,-0.012,-0.034,0.083,0.032,0.013,0.026
0,1,992.6199999999999,741.77,24.023,22.965,61.7,70.2,0.019,-0.036,0.019,0.052,0.018,0.015
0,1,738.69,869.405,99.999,99.999,82.1,0.0,0.041,0.0,0.044,0.0,0.013,0.0
0,1,742.11,971.565,24.023,23.073,74.0,64.8,-0.052,-0.026,0.046,0.022,0.015,0.017
0,1,757.585,821.1800000000001,24.119,22.978,77.1,80.8,0.029,0.015,0.009,0.0,0.014,0.013
0,1,1049.54,856.1,24.106,22.98,75.9,27.1,-0.034,-0.011,0.036,-0.004,0.014,0.04
0,1,744.61,729.395,24.111,23.062,64.0,48.3,0.034,-0.026,0.049,-0.005,0.017,0.022
0,1,954.55,790.39,24.136,23.059,75.8,63.5,-0.008,-0.01,0.061,0.025,0.014,0.017
0,1,1014.375,759.19,99.999,99.999,65.5,0.0,-0.024,0.0,0.058,0.0,0.017,0.0
0,1,734.6,754.165,24.212,23.054,45.8,52.2,-0.027,-0.073,0.228,0.094,0.024,0.021
0,1,936.095,781.365,24.169,23.07,77.6,63.9,-0.01,-0.015,0.003,0.014,0.014,0.017
0,1,976.9649999999999,1038.21,24.195,23.113,61.1,32.6,-0.004,-0.078,0.064,0.06,0.018,0.033
0,1,835.13,1063.18,24.259,23.151,62.2,61.5,-0.014,-0.003,0.034,0.022,0.017,0.018
0,1,721.13,871.84,24.232,23.074,69.7,33.6,0.036,0.001,0.023,0.001,0.016,0.032
0,1,924.5,716.63,99.999,99.999,63.1,0.0,-0.016,0.0,0.076,0.0,0.017,0.0
0,1,1066.16,1071.9850000000001,24.291,23.283,65.0,60.0,-0.005,0.018,0.035,0.019,0.017,0.018
0,1,782.115,1055.675,24.321,23.254,65.7,48.5,-0.015,-0.002,0.108,0.024,0.017,0.022
0,1,904.23,759.8,24.325,23.213,69.0,29.7,0.022,-0.011,0.039,0.052,0.016,0.037
0,1,716.41,903.79,99.999,99.999,55.9,0.0,0.003,0.0,0.081,0.0,0.019,0.0
0,1,871.99,784.105,24.371,23.313,67.1,43.1,0.015,0.039,0.094,0.055,0.016,0.025
0,1,863.51,1017.6700000000001,24.417,23.335,59.3,57.2,-0.007,-0.016,0.078,0.045,0.018,0.019
0,1,997.0799999999999,999.2,24.42,23.412,61.5,29.7,-0.024,-0.033,0.065,0.037,0.018,0.037
0,1,1024.1100000000001,942.575,24.481,23.331,54.8,61.7,-0.006,0.007,0.066,0.016,0.02,0.018
0,1,891.825,859.08,24.443,23.397,56.3,53.6,0.016,0.038,0.055,0.014,0.019,0.02
0,1,1036.775,988.0350000000001,24.452,23.459,57.6,24.1,0.008,0.063,0.062,0.015,0.019,0.045
0,1,758.275,781.69,24.501,23.454,56.1,26.7,0.047,0.007,0.036,0.025,0.019,0.041
0,1,707.75,862.8,99.999,99.999,52.5,0.0,-0.024,0.0,-0.003,0.0,0.021,0.0
0,1,1022.0,888.645,24.531,23.479,55.7,26.5,-0.057,-0.062,0.016,0.012,0.019,0.041
0,1,1064.085,964.96,24.496,23.51,58.5,41.6,0.011,-0.025,-0.003,0.071,0.019,0.026
0,1,785.89,822.025,24.515,23.528,55.1,37.6,-0.007,0.012,0.06,-0.007,0.02,0.029
0,1,800.51,994.0550000000001,24.536,23.557,52.8,58.2,-0.036,0.03,0.065,0.024,0.021,0.019
0,1,998.0799999999999,783.705,24.516,23.526,62.1,24.7,-0.009,0.003,0.053,0.04,0.017,0.044
0,1,1032.27,1012.8399999999999,24.53,23.504,59.4,47.1,-0.021,-0.014,0.029,0.037,0.018,0.023
0,1,745.5,956.2149999999999,24.54,23.542,59.4,54.9,-0.026,-0.03,0.098,0.026,0.018,0.02
0,1,921.83,843.36,99.999,99.999,57.3,0.0,-0.021,0.0,0.012,0.0,0.019,0.0
0,1,929.86,966.4949999999999,24.521,23.65,33.4,28.0,-0.067,-0.054,0.259,0.187,0.032,0.039
0,1,783.9449999999999,1057.53,24.628,23.564,43.1,45.9,-0.097,-0.079,0.097,0.043,0.025,0.024
0,1,827.63,905.9449999999999,24.618,23.587,55.6,47.0,0.031,-0.02,0.017,0.017,0.02,0.023
0,1,986.5,895.02,24.654,23.56,51.9,41.4,-0.039,-0.027,0.033,0.095,0.021,0.026
0,1,925.145,981.7350000000001,24.673,23.558,55.9,54.1,0.029,0.016,0.003,0.021,0.019,0.02
0,1,951.2850000000001,1001.0050000000001,24.59,23.706,37.1,22.7,-0.086,-0.076,0.094,0.095,0.029,0.048
0,1,1019.065,993.3050000000001,99.999,99.999,53.0,0.0,0.004,0.0,-0.01,0.0,0.02,0.0
0,1,990.185,978.0450000000001,24.654,23.66,47.2,47.8,0.028,0.037,0.075,0.044,0.023,0.023
0,1,867.285,711.715,99.999,99.999,51.8,0.0,0.034,0.0,0.067,0.0,0.021,0.0
0,1,895.14,935.12,24.649,23.696,56.0,44.7,0.014,-0.021,0.028,-0.004,0.019,0.024
0,1,804.19,706.05,24.613,23.773,45.9,29.8,-0.028,-0.058,0.052,-0.049,0.024,0.036
0,1,748.855,936.935,99.999,99.999,50.3,0.0,0.02,0.0,0.01,0.0,0.022,0.0
0,1,927.625,920.875,24.661,23.693,50.9,47.1,-0.018,-0.006,0.019,0.048,0.021,0.023
0,1,841.38,995.325,24.739,23.754,41.1,36.2,-0.022,-0.012,0.0,0.015,0.026,0.03
0,1,968.8199999999999,1051.34,99.999,99.999,51.8,0.0,0.001,0.0,0.082,0.0,0.021,0.0
0,1,1022.415,825.705,99.999,99.999,52.8,0.0,0.006,0.0,0.077,0.0,0.021,0.0
