extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,713.74,975.9749999999999,21.231,19.765,72.7,142.4,-0.109,-0.049,0.016,0.037,0.015,0.008
0,1,767.5,1003.125,21.981,19.623,87.0,201.3,-0.043,-0.036,0.03,0.024,0.012,0.005
0,1,747.3,1013.6949999999999,22.447,20.147,77.3,144.0,-0.058,-0.036,0.054,0.021,0.014,0.008
0,1,758.255,823.91,21.883,20.425,101.2,150.4,-0.008,-0.009,0.036,-0.0,0.011,0.007
0,1,970.8899999999999,808.665,22.521,20.201,90.5,178.9,-0.006,-0.002,0.027,0.02,0.012,0.006
0,1,964.0450000000001,816.085,22.438,20.573,83.9,146.1,-0.045,-0.025,0.05,0.03,0.013,0.007
0,1,1042.76,927.97,22.861,20.426,59.5,153.0,0.025,0.02,0.041,0.031,0.018,0.007
0,1,766.83,819.38,22.628,20.596,77.7,134.5,-0.035,-0.022,0.047,0.014,0.014,0.008
0,1,856.905,800.95,22.731,20.727,65.1,132.1,-0.049,-0.031,0.047,0.008,0.017,0.008
0,1,933.665,859.99,22.042,21.426,113.3,82.1,0.016,-0.001,0.007,0.034,0.01,0.013
0,1,754.72,994.4949999999999,22.772,21.015,50.8,100.6,-0.069,-0.018,0.047,0.004,0.021,0.011
0,1,992.53,911.435,22.85,21.047,57.3,108.7,-0.016,-0.017,0.053,0.032,0.019,0.01
0,1,848.1,930.315,22.799,21.005,70.6,115.6,-0.001,-0.02,0.019,0.003,0.015,0.009
0,1,757.795,847.48,22.082,21.606,74.1,76.3,-0.013,-0.001,0.008,0.032,0.015,0.014
0,1,1026.8899999999999,791.15,22.814,20.962,72.7,100.8,0.003,-0.023,0.016,-0.0,0.015,0.011
0,1,872.955,796.66,22.83,21.074,74.7,108.0,0.002,-0.001,0.037,0.001,0.015,0.01
0,1,890.975,1014.1399999999999,22.663,21.23,69.7,98.4,0.003,0.008,0.025,0.021,0.016,0.011
0,1,807.865,713.2,22.934,21.179,39.3,71.0,-0.148,-0.111,0.181,0.148,0.028,0.015
0,1,824.005,1061.53,22.892,21.167,56.2,89.6,-0.057,-0.028,0.072,0.046,0.019,0.012
0,1,861.355,1063.19,22.886,21.161,62.4,100.1,-0.034,-0.021,0.097,0.044,0.017,0.011
0,1,934.28,756.33,22.281,21.56,96.0,82.1,0.003,0.009,0.04,0.016,0.011,0.013
0,1,756.48,1066.73,23.093,21.261,31.7,72.2,-0.1,-0.077,0.134,0.018,0.034,0.015
0,1,874.6,1009.385,22.885,21.169,70.8,100.9,-0.006,-0.004,0.05,0.0,0.015,0.011
0,1,1021.74,1062.37,22.961,21.247,53.7,90.8,0.007,0.003,0.091,0.035,0.02,0.012
0,1,978.8600000000001,872.5550000000001,22.468,21.462,89.4,89.1,0.035,0.014,0.036,0.013,0.012,0.012
0,1,962.935,736.28,22.629,21.352,83.0,92.0,-0.022,-0.027,0.023,0.049,0.013,0.012
0,1,897.325,1007.2550000000001,22.889,21.244,57.9,81.9,0.002,-0.011,0.075,0.019,0.019,0.013
0,1,711.065,834.355,23.133,21.34,33.6,74.7,-0.092,-0.042,-0.014,0.051,0.032,0.015
0,1,830.865,726.48,22.955,21.354,61.4,84.2,-0.027,-0.002,0.052,0.016,0.018,0.013
0,1,751.42,719.39,23.093,21.378,38.6,69.5,-0.061,-0.06,0.056,-0.003,0.028,0.016
0,1,884.38,889.36,22.909,21.44,49.8,90.9,-0.052,-0.044,0.054,0.021,0.022,0.012
0,1,739.105,1025.65,23.005,21.366,51.3,73.8,-0.013,0.02,0.007,0.042,0.021,0.015
0,1,937.35,1060.75,22.762,21.489,60.9,65.1,0.011,-0.006,0.045,0.052,0.018,0.017
0,1,989.7750000000001,770.27,23.157,21.483,36.4,55.2,-0.064,-0.085,0.158,0.098,0.03,0.02
0,1,953.175,867.84,22.983,21.558,67.5,84.5,0.023,0.003,0.055,0.012,0.016,0.013
0,1,816.05,977.815,23.133,21.566,51.1,75.9,-0.031,-0.031,0.064,0.023,0.021,0.014
0,1,821.955,1044.5,23.181,21.578,36.8,56.4,-0.07,-0.058,0.091,0.057,0.029,0.019
0,1,835.54,1023.47,23.183,21.638,40.2,64.0,-0.058,-0.039,0.056,0.073,0.027,0.017
0,1,871.325,749.66,22.629,22.053,55.4,58.9,-0.052,-0.017,0.024,0.06,0.02,0.018
0,1,738.985,796.715,23.269,21.58,49.3,76.6,0.004,-0.005,0.034,0.008,0.022,0.014
0,1,911.21,864.105,22.881,21.83,59.0,72.9,0.011,-0.005,0.064,-0.015,0.018,0.015
0,1,919.535,978.3499999999999,23.027,21.72,64.0,76.7,0.008,-0.015,0.024,0.009,0.017,0.014
0,1,1001.54,958.0699999999999,23.271,21.809,34.3,71.0,-0.082,-0.029,0.053,0.008,0.032,0.015
0,1,753.955,704.065,23.411,21.664,27.5,43.2,-0.154,-0.114,0.026,0.027,0.039,0.025
