extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,945.895,807.285,22.167,20.433,179.2,285.2,-0.013,-0.007,0.018,0.005,0.006,0.004
0,1,1061.345,907.56,22.497,20.963,59.0,186.5,-0.094,-0.048,0.093,0.073,0.018,0.006
0,1,959.5250000000001,898.61,22.539,20.953,163.1,219.5,-0.035,-0.029,0.033,0.0,0.007,0.005
0,1,887.965,824.8199999999999,22.484,21.242,153.8,190.1,-0.011,-0.011,0.028,-0.004,0.007,0.006
0,1,800.94,888.385,22.954,21.019,132.7,213.2,-0.004,-0.021,0.054,-0.008,0.008,0.005
0,1,703.235,975.865,22.587,21.246,130.6,163.5,0.005,-0.022,0.029,0.028,0.008,0.007
0,1,781.1949999999999,924.565,22.909,21.471,133.9,169.0,0.014,0.007,0.042,0.01,0.008,0.006
0,1,978.7950000000001,937.95,22.906,21.532,122.7,160.8,0.007,-0.003,0.053,0.02,0.009,0.007
0,1,721.825,932.9,23.009,21.599,118.6,157.2,0.018,-0.001,0.026,0.028,0.009,0.007
0,1,866.4,938.5899999999999,23.058,21.664,120.7,153.6,-0.018,-0.016,0.052,0.006,0.009,0.007
0,1,900.98,982.2149999999999,99.999,99.999,0.0,145.7,0.0,-0.017,0.0,0.036,0.0,0.007
0,1,930.685,758.775,23.049,21.726,124.8,148.0,0.032,0.008,0.022,0.03,0.009,0.007
0,1,748.545,841.6,23.17,21.795,116.9,142.0,0.009,0.001,0.06,0.02,0.009,0.008
0,1,822.5550000000001,882.495,23.195,21.937,53.6,95.0,-0.089,-0.072,0.104,0.059,0.02,0.011
0,1,742.505,954.8050000000001,23.2,21.891,108.9,134.9,0.015,0.003,0.024,0.006,0.01,0.008
0,1,882.26,876.71,23.195,21.897,116.1,136.0,0.001,0.005,0.009,0.004,0.009,0.008
0,1,903.92,959.6600000000001,23.235,21.939,102.1,132.6,-0.023,-0.023,0.014,0.001,0.011,0.008
0,1,885.025,889.8199999999999,23.185,21.93,116.9,121.2,-0.024,-0.02,0.011,0.006,0.009,0.009
0,1,901.605,1061.98,23.254,21.962,95.4,126.5,-0.012,0.011,0.042,0.026,0.011,0.009
0,1,749.12,890.815,23.283,21.978,107.2,127.7,0.022,0.017,0.028,0.016,0.01,0.008
0,1,1037.1,907.175,23.271,22.017,103.6,125.8,-0.027,-0.016,0.027,0.022,0.01,0.009
0,1,883.765,913.5550000000001,23.459,22.154,100.6,118.6,-0.007,0.0,0.031,0.0,0.011,0.009
0,1,777.0,900.045,23.592,22.348,93.1,93.8,-0.02,-0.008,0.001,0.011,0.012,0.012
0,1,866.97,814.62,23.626,22.428,88.0,101.8,0.002,-0.004,0.051,0.009,0.012,0.011
0,1,745.46,891.255,23.628,22.405,87.5,86.7,0.011,-0.0,0.093,-0.023,0.012,0.013
0,1,807.035,978.97,23.796,22.557,82.8,82.3,-0.005,0.012,0.017,0.037,0.013,0.013
0,1,796.79,1026.01,23.786,22.616,81.1,81.2,0.001,-0.015,0.097,0.016,0.013,0.013
0,1,870.815,985.3800000000001,23.858,22.582,80.5,92.0,-0.006,-0.037,0.024,0.042,0.013,0.012
0,1,776.585,739.465,23.82,22.632,80.2,86.7,0.038,0.014,0.04,0.013,0.014,0.013
0,1,778.52,775.645,23.832,22.683,71.6,87.6,0.009,0.014,0.068,0.056,0.015,0.012
0,1,792.14,718.435,23.868,22.668,73.6,88.1,0.029,0.005,0.054,0.024,0.015,0.012
0,1,792.94,878.27,23.939,22.801,63.0,81.8,0.012,0.013,0.107,0.012,0.017,0.013
0,1,1071.03,1049.26,23.987,22.87,27.3,75.2,-0.061,-0.014,0.273,0.012,0.04,0.014
0,1,850.26,799.33,23.954,22.786,76.3,83.2,0.033,0.015,0.029,0.003,0.014,0.013
0,1,857.8199999999999,1042.2649999999999,23.942,22.795,76.1,81.8,0.002,-0.014,0.036,0.024,0.014,0.013
0,1,862.12,726.335,23.945,22.847,66.5,77.5,0.023,0.008,0.121,0.026,0.016,0.014
0,1,1026.98,816.465,24.002,22.902,72.3,77.5,0.011,-0.003,0.052,-0.009,0.015,0.014
0,1,793.89,1022.8899999999999,24.134,22.954,66.5,74.8,-0.003,0.006,0.064,0.029,0.016,0.015
0,1,959.7750000000001,739.575,24.038,23.084,71.4,61.6,-0.06,-0.054,0.046,0.008,0.015,0.018
0,1,1042.82,865.815,24.152,23.005,67.3,72.6,0.014,0.013,0.052,0.015,0.016,0.015
0,1,788.03,720.38,24.115,23.057,56.2,63.0,-0.027,-0.031,0.071,0.016,0.019,0.017
0,1,929.02,1009.3699999999999,24.152,23.065,65.8,57.6,-0.014,-0.018,0.003,0.045,0.017,0.019
0,1,735.67,836.145,24.177,23.072,64.4,69.5,0.025,0.045,0.066,0.004,0.017,0.016
0,1,908.92,1014.0,24.18,23.091,66.8,69.2,-0.025,0.018,0.114,0.083,0.016,0.016
0,1,1069.575,745.9449999999999,24.225,23.072,59.6,52.7,-0.023,-0.022,0.063,0.023,0.018,0.021
0,1,979.0999999999999,1052.53,24.258,23.085,61.9,68.4,-0.011,0.045,0.037,0.002,0.018,0.016
