pgc,name
35,UGC12894
143,DDO221
218,NGC7814
388,ESO409-015
591,UGC64
621,ESO349-031
701,NGC24
930,NGC45
1014,NGC55
1034,NGC59
1038,ESO410-005
1305,IC10
1641,ESO294-010
1777,UGC288
2004,NGC147
2329,NGC185
2429,NGC205
2544,ANDROMEDA-4
2555,NGC221
2557,M31
2578,DDO226
2758,NGC247
2789,NGC253
2881,ESO540-030
2902,DDO6
2933,ESO540-032
3085,SMC
3238,NGC300
3792,LGS3
3844,IC1613
3974,UGC685
4013,UGC695
4126,NGC404
5818,M33
5896,NGC625
5974,M74
6430,ESO245-05
6574,IC1727
6595,NGC0672
6699,UGC1281
6830,Phoenix
7671,NGC784
8484,UGC1703
9031,NGC891
9140,KKS03
9332,NGC925
9892,Maffei1
9962,ESO115-21
10074,Fornax
10217,Maffei2
11139,ESO154-23
11211,ESO199-007
11329,NGC1156
11842,ESO300-016
12209,NGC1291
12286,NGC1313
12460,NGC1311
12514,UGC2684
12626,NGC1309
12651,NGC1316
12719,UGC2716
13115,UGC2773
13163,IC1959
13179,NGC1365
13294,PGC13294
13433,NGC1404
13727,NGC1448
13826,IC342
14241,UGCA86
15345,NGC1569
15439,UGCA92
15488,NGC1560
16282,NGC1705
16389,ESO252-001
16643,ESO486-G021
16957,UGCA105
17223,LMC
17302,ESO553-046
17716,OrionDwarf
18396,ESO364-029
18431,PGC18431
18536,NGC2188
18731,ESO121-20
19041,ESO489-056
19162,UGC3476
19337,ESO490-17
19382,ESO308-022
19441,Carina
19871,UGC3600
20125,FG202
20171,ESO558-011
20264,UGC3698
20298,NGC2337
20445,UGC3755
21073,UGC3860
21102,NGC2366
21199,ESO059-01
21302,DDO44
21396,NGC2403
21585,UGC3966
21600,UGC3974
21614,KK65
21772,MCG+09-13-052
22277,UGC4115
23071,IC2233
23324,UGC4305
23344,ESO006-G001
23521,M81DwA
23769,DDO52
24050,UGC4459
24171,ESO495-021
24213,UGC4483
24781,ESO496-010
24930,NGC2683
26142,UGC4879
26259,NGC2835
26761,NGC2915
27077,NGC2903
27104,ESO373-G007
27115,UGC5086
27605,UGC5139
27935,UGC05209
28120,NGC2976
28357,NGC3021
28378,UGC5288
28529,BK3N
28630,M81
28655,M82
28731,KDG61
28757,UGC5336
28759,A0952+69
28826,d0958+66
28868,DDO69
28913,DDO70
29033,MCG-01-26-011
29086,UGCA193
29128,NGC3109
29146,NGC3077
29194,Antlia
29230,UGC5427
29231,BK5N
29257,DDO71
29284,UGC5423
29299,KK84
29388,KDG64
29428,UGC5456
29488,DDO74
29653,DDO75
29735,UGC5497
30664,DDO78
30819,IC2574
30997,DDO82
