extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,err_v,err_i
0,1,1015.4000000000001,715.78,24.858,22.505,12.0,20.3,-0.032,0.08,0.091,0.053
0,1,728.56,1066.25,99.999,99.999,0.0,7.6,0.0,0.409,0.0,0.144
0,1,1000.98,725.26,25.232,23.26,14.4,14.0,-0.049,0.008,0.075,0.077
0,1,730.005,992.855,99.999,99.999,0.0,7.7,0.0,0.37,0.0,0.14
0,1,994.095,743.045,25.428,23.014,6.2,5.2,-0.432,-0.083,0.175,0.207
0,1,969.9549999999999,765.89,25.252,23.451,4.3,4.6,-0.296,-0.38,0.25,0.234
0,1,919.79,809.91,25.197,23.506,13.8,11.4,-0.05,0.057,0.079,0.095
0,1,829.84,750.14,25.14,23.675,14.2,9.4,0.064,-0.013,0.077,0.116
0,1,852.095,925.515,99.999,99.999,6.2,0.0,0.298,0.0,0.174,0.0
0,3,990.8299999999999,758.795,99.999,99.999,5.1,0.0,-0.461,0.0,0.212,0.0
0,1,1032.415,1055.32,99.999,99.999,0.0,7.1,0.0,0.151,0.0,0.152
0,1,966.425,770.675,25.894,23.443,5.1,8.6,-0.419,-0.157,0.212,0.127
0,1,991.4850000000001,754.865,99.999,99.999,3.8,0.0,-0.305,0.0,0.283,0.0
0,1,775.455,763.925,99.999,99.999,8.3,0.0,0.243,0.0,0.131,0.0
0,1,795.755,748.215,25.19,24.108,12.5,6.4,0.012,0.005,0.087,0.169
0,1,1014.79,717.11,99.999,99.999,12.8,0.0,0.11,0.0,0.085,0.0
0,1,884.24,711.095,25.668,23.952,9.2,7.8,-0.133,-0.226,0.118,0.139
0,1,969.3800000000001,754.86,26.168,23.407,3.9,6.2,-0.117,-0.285,0.279,0.176
0,1,1000.895,736.31,25.951,23.762,5.4,6.5,-0.297,-0.135,0.201,0.168
0,1,994.4300000000001,753.355,25.961,23.665,5.6,5.9,-0.394,-0.384,0.195,0.184
0,1,997.79,772.455,99.999,99.999,7.3,0.0,-0.372,0.0,0.148,0.0
0,1,1016.4100000000001,714.715,25.917,23.662,6.0,5.6,-0.275,-0.298,0.182,0.195
0,1,997.8699999999999,1050.3899999999999,99.999,99.999,0.0,6.3,0.0,-0.245,0.0,0.173
0,1,999.135,738.295,25.866,23.999,5.6,5.1,-0.404,-0.495,0.193,0.212
0,1,1053.585,1018.875,99.999,99.999,0.0,5.6,0.0,-0.189,0.0,0.193
0,1,721.825,968.6949999999999,25.871,23.982,7.9,6.3,0.125,-0.075,0.138,0.172
0,1,999.94,737.085,26.177,23.771,4.1,7.6,-0.1,-0.234,0.263,0.144
0,1,824.99,1051.78,99.999,99.999,0.0,6.2,0.0,0.079,0.0,0.174
0,1,1002.105,735.03,25.873,24.1,5.4,4.3,-0.443,-0.128,0.202,0.255
0,1,1004.2350000000001,732.8,99.999,99.999,0.0,7.2,0.0,-0.334,0.0,0.15
0,1,965.425,771.83,99.999,99.999,0.0,7.0,0.0,-0.148,0.0,0.155
0,1,703.575,928.6800000000001,99.999,99.999,9.2,0.0,0.153,0.0,0.117,0.0
0,1,986.915,766.88,99.999,99.999,6.0,0.0,-0.41,0.0,0.181,0.0
0,1,871.655,1043.79,99.999,99.999,0.0,4.0,0.0,0.075,0.0,0.27
0,1,969.885,927.475,99.999,99.999,5.8,0.0,-0.08,0.0,0.187,0.0
0,1,964.8199999999999,770.735,99.999,99.999,7.6,0.0,0.295,0.0,0.144,0.0
0,1,955.4200000000001,781.735,99.999,99.999,6.7,0.0,-0.155,0.0,0.161,0.0
0,1,1006.895,730.335,26.15,23.886,6.7,4.8,-0.3,-0.406,0.162,0.225
0,1,960.385,776.88,26.363,23.913,4.6,5.2,-0.463,-0.399,0.235,0.208
