extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,1044.19,1373.71,1,22.327,0.004,255.1,0.039,0.044,0.0,0,19.336,0.002,519.8,0.022,0.016,0.0,0
1,2238.5,1065.75,1,22.367,0.004,253.8,0.015,0.039,0.0,0,19.482,0.002,495.7,0.007,0.032,0.0,0
1,1877.68,1255.53,1,20.943,0.003,400.6,0.015,0.029,0.0,0,20.135,0.003,356.3,0.023,-0.002,0.0,0
1,3142.82,2020.88,1,23.082,0.009,122.3,0.019,0.061,0.0,0,20.026,0.004,257.4,0.007,0.036,0.0,0
1,2797.96,1281.9,1,21.757,0.004,278.6,0.017,0.04,0.0,0,20.944,0.004,245.2,0.015,0.027,0.0,0
1,2939.9,1692.27,1,22.427,0.005,225.6,0.023,0.052,0.0,0,20.596,0.004,289.6,0.025,0.041,0.0,0
1,1615.5,1137.77,1,22.097,0.005,233.2,0.013,0.025,0.0,0,21.316,0.005,203.0,0.007,0.022,0.001,0
1,3288.89,707.36,1,22.671,0.006,175.8,0.015,-0.001,0.0,0,21.948,0.007,147.1,0.024,0.083,0.0,0
1,666.98,863.73,1,23.972,0.01,109.9,-0.001,0.025,0.0,0,21.424,0.006,193.6,-0.003,0.085,0.001,0
1,2367.58,359.31,1,22.694,0.007,164.1,-0.002,0.048,0.0,0,22.107,0.008,133.0,0.013,-0.01,0.0,0
1,1950.84,386.74,1,22.93,0.007,154.7,0.013,-0.0,0.0,0,22.221,0.008,129.5,0.0,0.087,0.0,0
1,1631.62,1940.35,1,23.35,0.008,134.6,-0.022,0.034,0.0,0,21.913,0.007,149.2,-0.018,0.045,0.0,0
1,646.28,1332.63,1,23.687,0.01,110.4,0.027,-0.028,0.007,0,22.09,0.008,131.9,0.03,0.039,0.003,0
1,584.45,202.25,1,23.808,0.014,77.3,-0.018,0.038,1.178,0,23.21,0.018,62.0,0.023,0.059,1.173,0
1,2518.92,1146.47,1,23.744,0.01,110.2,0.022,-0.001,0.002,0,22.095,0.008,133.6,0.012,0.018,0.001,0
1,583.52,202.52,1,24.458,0.023,47.7,-0.001,0.021,7.249,0,23.902,0.029,37.2,0.025,0.041,7.213,0
1,1912.04,1257.18,1,23.141,0.008,131.9,0.01,0.042,0.0,0,22.579,0.01,104.5,0.012,-0.01,0.001,0
1,984.18,628.07,1,23.995,0.011,102.2,0.003,0.146,0.0,0,22.135,0.008,134.8,0.026,0.026,0.0,0
1,1234.66,1998.65,1,24.759,0.022,49.9,-0.029,0.137,0.0,0,21.911,0.01,104.0,-0.005,0.037,0.001,0
1,2013.1,1614.43,1,23.926,0.015,71.1,0.022,0.023,0.0,0,22.261,0.009,123.9,-0.011,0.002,0.001,0
1,68.99,1509.45,1,23.872,0.011,102.1,0.004,0.082,0.0,0,22.379,0.009,115.4,0.01,0.009,0.0,0
1,2578.71,1377.39,1,24.052,0.012,94.0,0.024,0.061,0.0,0,22.359,0.009,117.0,0.038,-0.045,0.0,0
1,1940.32,224.52,1,23.914,0.011,99.9,-0.02,0.059,0.0,0,22.54,0.01,108.7,0.002,0.044,0.0,0
1,3452.57,1767.35,1,25.209,0.021,51.7,-0.029,0.099,0.002,0,22.174,0.008,129.0,-0.009,0.02,0.001,0
1,2938.84,486.21,1,24.037,0.012,93.4,0.004,0.042,0.108,0,22.477,0.01,107.4,-0.008,0.047,0.163,0
1,2347.64,1932.74,1,23.984,0.011,97.0,-0.025,0.045,0.0,0,22.442,0.01,112.4,0.0,0.041,0.0,0
1,2842.34,1210.53,1,24.026,0.011,95.3,0.009,0.063,0.006,0,22.491,0.01,109.2,0.023,-0.008,0.03,0
1,1275.06,1825.13,1,24.065,0.012,92.2,-0.011,0.024,0.0,0,22.478,0.01,109.7,-0.024,0.062,0.001,0
1,1715.65,1949.21,1,24.0,0.011,95.0,-0.028,0.025,0.002,0,22.516,0.01,106.9,0.01,0.078,0.002,0
1,2458.77,1455.35,1,23.976,0.011,95.5,0.024,0.065,0.0,0,22.563,0.01,105.5,0.008,-0.014,0.0,0
