extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,807.145,1030.6399999999999,21.723,19.112,362.7,1349.1,-0.022,0.002,0.014,0.006,0.003,0.001
0,1,989.27,1032.435,19.781,19.707,1044.3,999.0,-0.016,-0.027,0.024,0.006,0.001,0.001
0,1,723.22,905.045,19.964,19.549,522.8,1091.7,0.064,0.006,0.033,0.005,0.002,0.001
0,1,775.5550000000001,929.855,20.261,20.181,308.6,799.2,-0.003,-0.008,0.04,0.017,0.004,0.001
0,1,1041.02,729.615,21.937,19.906,307.4,915.9,-0.003,0.008,0.052,0.013,0.004,0.001
0,5,1056.97,1072.045,23.35,22.341,401.3,410.8,-0.393,-0.393,0.077,0.005,0.003,0.003
0,1,1032.185,1026.1100000000001,21.173,20.198,412.9,771.0,-0.015,-0.025,0.007,0.006,0.003,0.001
0,1,966.6100000000001,887.81,21.447,20.331,214.0,742.1,-0.046,-0.027,0.024,0.018,0.005,0.001
0,1,943.775,831.17,20.855,20.639,403.6,653.8,-0.019,-0.014,0.002,0.013,0.003,0.002
0,1,959.03,933.1600000000001,21.629,20.585,376.8,650.7,-0.041,-0.037,0.02,0.018,0.003,0.002
0,1,833.075,703.905,22.483,20.805,112.7,302.1,-0.001,-0.063,0.069,0.108,0.01,0.004
0,1,1045.665,1072.145,24.097,22.938,5.3,6.6,-0.759,-0.825,0.121,0.146,0.204,0.165
0,1,740.71,901.665,22.451,20.981,217.1,540.4,0.035,0.001,0.048,0.016,0.005,0.002
0,1,798.665,779.6,22.399,21.066,289.7,524.5,0.028,0.017,0.024,0.01,0.004,0.002
0,1,1026.33,879.185,22.535,21.245,208.3,469.5,-0.014,-0.019,0.034,0.017,0.005,0.002
0,1,946.29,835.8199999999999,22.552,21.332,136.7,393.1,-0.047,-0.035,0.026,0.023,0.008,0.003
0,1,898.37,706.59,22.666,21.356,145.2,380.3,0.014,-0.025,0.048,0.024,0.007,0.003
0,1,820.245,966.375,22.121,21.756,227.8,314.6,-0.046,-0.036,0.028,0.008,0.005,0.003
0,1,749.515,734.985,22.898,21.647,196.6,386.1,0.032,0.0,0.041,0.012,0.006,0.003
0,1,896.835,888.415,23.033,22.001,129.5,318.4,-0.015,-0.013,0.014,0.004,0.008,0.003
0,1,986.5450000000001,764.53,25.204,21.959,56.5,344.4,0.004,0.001,0.001,0.001,0.019,0.003
0,1,927.935,855.33,22.956,22.062,63.5,309.0,-0.033,-0.006,0.009,0.002,0.017,0.004
0,1,912.275,1035.625,23.244,22.151,148.8,283.2,-0.026,-0.023,0.033,0.015,0.007,0.004
0,1,790.8,941.275,23.392,22.203,76.7,273.8,-0.019,-0.008,0.042,0.013,0.014,0.004
0,5,1035.665,1071.74,24.748,23.852,514.2,672.8,-0.604,-0.604,0.019,-0.004,0.002,0.002
0,1,725.06,786.935,23.433,22.336,136.4,265.2,0.018,0.007,0.03,0.001,0.008,0.004
0,1,840.94,939.52,23.603,22.457,93.0,173.1,-0.023,-0.001,0.03,-0.001,0.012,0.006
0,1,999.79,747.035,23.557,22.509,152.8,239.4,0.015,-0.03,0.012,0.006,0.007,0.005
0,5,1057.035,1070.145,22.96,20.966,2027.2,4126.4,-0.547,-0.547,0.013,0.124,0.001,0.0
0,1,956.6949999999999,1048.925,23.042,23.124,195.7,139.4,-0.041,-0.027,0.016,0.002,0.006,0.008
0,5,1045.6,1058.995,23.098,22.383,2433.9,2415.6,-0.699,-0.699,0.08,0.061,0.0,0.0
